Dataset Name,Number of Nodes,Algorithm,Total Distance,Execution Time,Memory Usage,Precision
p654,654,Twice Around the Tree,58912.78492877277,0.550066,ignored,1.7
p654,654,Christofides,38660.95929046208,1.026703,ignored,1.12
d657,657,Twice Around the Tree,84981.21231163216,0.606095,ignored,1.74
d657,657,Christofides,53370.2094322111,8.331299,ignored,1.09
u724,724,Twice Around the Tree,75949.21740022718,0.7348,ignored,1.81
u724,724,Christofides,47802.28239762277,10.391365,ignored,1.14
rat783,783,Twice Around the Tree,16306.502817436709,0.908504,ignored,1.85
rat783,783,Christofides,10077.320667040882,15.131663,ignored,1.14
pr1002,1002,Twice Around the Tree,448428.9365359385,1.538229,ignored,1.73
pr1002,1002,Christofides,283814.4207008012,24.422079,ignored,1.1
u1060,1060,Twice Around the Tree,390903.63165586925,1.765864,ignored,1.74
u1060,1060,Christofides,248950.3758304191,32.679849,ignored,1.11
vm1084,1084,Twice Around the Tree,418471.92735387234,1.857724,ignored,1.75
vm1084,1084,Christofides,260391.89952398586,16.559947,ignored,1.09
pcb1173,1173,Twice Around the Tree,102919.72636295529,2.422482,ignored,1.81
pcb1173,1173,Christofides,63159.43218218887,29.89013,ignored,1.11
d1291,1291,Twice Around the Tree,94579.2086287988,2.704365,ignored,1.86
d1291,1291,Christofides,56658.00199754335,8.494797,ignored,1.12
rl1304,1304,Twice Around the Tree,445678.12004308583,2.957996,ignored,1.76
rl1304,1304,Christofides,277903.1931053025,8.725477,ignored,1.1
rl1323,1323,Twice Around the Tree,479949.87430766475,3.142206,ignored,1.78
rl1323,1323,Christofides,297922.1611593825,9.215484,ignored,1.1
nrw1379,1379,Twice Around the Tree,104026.38959048288,3.296226,ignored,1.84
nrw1379,1379,Christofides,63811.529764543724,107.190426,ignored,1.13
fl1400,1400,Twice Around the Tree,34039.06182736715,3.04175,ignored,1.69
fl1400,1400,Christofides,22609.855984513764,101.502814,ignored,1.12
u1432,1432,Twice Around the Tree,291957.16889079695,3.392005,ignored,1.91
u1432,1432,Christofides,171267.43770411753,33.07043,ignored,1.12
fl1577,1577,Twice Around the Tree,38836.561166785155,4.143519,ignored,1.75
fl1577,1577,Christofides,24497.174654031944,21.389165,ignored,1.1
d1655,1655,Twice Around the Tree,113900.30718002096,4.525192,ignored,1.83
d1655,1655,Christofides,69049.81885502837,41.108425,ignored,1.11
vm1748,1748,Twice Around the Tree,589221.9538036606,5.098908,ignored,1.75
vm1748,1748,Christofides,375577.8042177919,62.465856,ignored,1.12
u1817,1817,Twice Around the Tree,109810.73737503335,5.853857,ignored,1.92
u1817,1817,Christofides,66616.85327453536,47.266183,ignored,1.16
rl1889,1889,Twice Around the Tree,556515.0891141638,6.224855,ignored,1.76
rl1889,1889,Christofides,344217.35856791795,27.247666,ignored,1.09
d2103,2103,Twice Around the Tree,152601.23946063413,7.623086,ignored,1.9
d2103,2103,Christofides,83419.46286842681,7.708449,ignored,1.04
u2152,2152,Twice Around the Tree,124479.49457221612,8.088904,ignored,1.94
u2152,2152,Christofides,73816.1435683086,69.661458,ignored,1.15
u2319,2319,Twice Around the Tree,464400.0,9.469299,ignored,1.98
u2319,2319,Christofides,272442.9082569911,266.858639,ignored,1.16
pr2392,2392,Twice Around the Tree,684618.4758045906,10.22238,ignored,1.81
pr2392,2392,Christofides,424859.9110514417,236.517581,ignored,1.12
pcb3038,3038,Twice Around the Tree,254817.51311738946,17.827107,ignored,1.85
pcb3038,3038,Christofides,154179.8583439823,508.903725,ignored,1.12
fl3795,3795,Twice Around the Tree,50123.83470914594,29.396883,ignored,1.74
fl3795,3795,Christofides,30999.211427122023,490.727196,ignored,1.08
fnl4461,4461,Twice Around the Tree,337444.4741820016,34.85744,ignored,1.85
