Dataset Name,Number of Nodes,Algorithm,Total Distance,Execution Time,Memory Usage,Precision
eil51,51,Twice Around the Tree,752.9811180392962,0.004138,71.94921875,1.77
eil51,51,Christofides,473.8043991033243,0.010586,72.44921875,1.11
berlin52,52,Twice Around the Tree,12163.261083281763,0.003011,72.94921875,1.61
berlin52,52,Christofides,8530.003701414455,0.009949,72.94921875,1.13
st70,70,Twice Around the Tree,1132.4138856166533,0.005168,73.44921875,1.68
st70,70,Christofides,748.1037914962235,0.025376,74.19921875,1.11
eil76,76,Twice Around the Tree,944.6613585291241,0.005563,74.44921875,1.76
eil76,76,Christofides,616.3497939410645,0.05868,74.44921875,1.15
pr76,76,Twice Around the Tree,174435.5986281863,0.005388,74.69921875,1.61
pr76,76,Christofides,112162.20873441538,0.015691,74.69921875,1.04
rat99,99,Twice Around the Tree,2229.46035079504,0.009052,75.44921875,1.84
rat99,99,Christofides,1350.4319787224756,0.039458,75.82421875,1.12
kroA100,100,Twice Around the Tree,37544.34640840174,0.00858,76.94921875,1.76
kroA100,100,Christofides,22990.432181602817,0.048498,77.44921875,1.08
kroB100,100,Twice Around the Tree,38513.919067745774,0.032501,78.44921875,1.74
kroB100,100,Christofides,23859.69862291333,0.037287,78.44921875,1.08
kroC100,100,Twice Around the Tree,36804.647617814626,0.009003,78.44921875,1.77
kroC100,100,Christofides,23253.258304489744,0.04857,78.44921875,1.12
kroD100,100,Twice Around the Tree,37193.43128017248,0.009089,78.44921875,1.75
kroD100,100,Christofides,23237.34445402607,0.047573,78.57421875,1.09
kroE100,100,Twice Around the Tree,38448.79012758631,0.009159,78.94921875,1.74
kroE100,100,Christofides,23595.67123532423,0.092978,78.94921875,1.07
rd100,100,Twice Around the Tree,13926.548640416868,0.008698,78.94921875,1.76
rd100,100,Christofides,8817.76306549462,0.076906,78.94921875,1.11
eil101,101,Twice Around the Tree,1124.5145244224475,0.008794,78.94921875,1.79
eil101,101,Christofides,716.672870256259,0.067774,78.94921875,1.14
lin105,105,Twice Around the Tree,26120.885288625614,0.037348,79.07421875,1.82
lin105,105,Christofides,16292.675799681514,0.046909,79.07421875,1.13
pr107,107,Twice Around the Tree,69514.92767519629,0.00996,79.07421875,1.57
pr107,107,Christofides,47494.18468460625,0.033418,79.07421875,1.07
pr124,124,Twice Around the Tree,101070.9462612498,0.012846,79.07421875,1.71
pr124,124,Christofides,64125.69864117384,0.028953,79.07421875,1.09
bier127,127,Twice Around the Tree,189435.2285537435,0.013921,79.07421875,1.6
bier127,127,Christofides,132038.0020423744,0.127722,79.07421875,1.12
ch130,130,Twice Around the Tree,10328.105599922026,0.015131,79.44921875,1.69
ch130,130,Christofides,6687.004569175432,0.069158,79.82421875,1.09
